part,qtyPerBox,client,machine,labelFormat
40037574,150,Infasco,,
40050697,160,Infasco,,
40068074,150,Infasco,,
40073474,150,Infasco,,
40109770,250,Infasco,,
40110160,200,Infasco,,
40161567,175,Infasco,,
40173371,1750,Infasco,,
40179994,170,Infasco,,
40179995,270,Infasco,,
4019770,250,Infasco,,
40204491,625,Infasco,,
40239029,1200,Infasco,,
41019770,250,Infasco,,
4200818SHJ5A00Z,1000,Infasco,,
42068967,320,INFASCO,,
4401X01-X03-CUS,2000,Accurate Fasteners,,
4406910X1,1600,PENN Engineered Fasteners Corp.,,
4406926A00,550,PENN Engineered Fasteners Corp.,,
4407034,1000,PENN Engineered Fasteners Corp.,,
4519-19,1100,Infasco,,
47336AE,660,INFASCO,,
4780-02,1000,L&M,,
4H16XIF,5000,PENN Engineered Fasteners Corp.,,
500009196,1200,Infasco,,
500009297,1200,Infasco,,
501571B,1100,Infasco,,
50223-TRO-E01,200,Focus Machine,,
52056965,700,Infasco,,
5232-28,700,Infasco,,
5284289AA,3000,,,
5332SP-SS-00S-KML,100,Accurate Fasteners,,
54041001,225,INFASCO,,
54043001,425,Infasco,,
54049001,425,INFASCO,,
55364498AA,520,INFASCO,,
55718-S2,900,INFASCO,,
5800001PS,5000,PENN Engineered Fasteners Corp.,,
59 114 21C,4000,RB & W,,
590-0-M8/14,1000,Karan Fasteners,,
60852-901,2200,Infasco,,
6100050,1500,Infasco,,
6101736,3200,Infasco,,
6101831,1000,Infasco,,
6101968,2200,Infasco,,
61273,300,Infasco,,
61499,2000,Focus Machine,,
61525,3000,Infasco,,
63-1172A,2500,ultra form,,
6502697,620,Infasco,,
6502979,750,Infasco,,
6503825,1500,Infasco,,
6504080,6000,INFASCO,,
68496005AA,670,INFASCO,,
6C50BHXO/MP88G,900,PENN Engineered Fasteners Corp.,,
6N0SWW0X,1500,PENN Engineered Fasteners Corp.,,
6N20HFC0,2000,PENN Engineered Fasteners Corp.,,
6N35HFC0,1000,PENN Engineered Fasteners Corp.,,
7140-00018AA,650,Infasco,,
714105,450,,,
7150-1549-03,815,Infasco,,
7150-3033-02,1500,Infasco,,
7150-3036-W0,725,Infasco,,
7150-5520-03,2700,Infasco,,
7150-9333-03,2700,Infasco,,
7151-5010-0W,1700,Infasco,,
7151101806,3300,Infasco,,
7151143403,1750,INFASCO,,
715150010W,2500,INFASCO,,
73.1138.9562,2000,Karan Fasteners,,
7320491,1900,Infasco,,
742000047,700,Infasco,,
742000064,700,Infasco,,
75.0610.6074,300,Magnum 2000,,
76-51064,800,Allied Forming,,
76-51602,800,Ultra Form,,
76A-51600,3000,Ultra Form,,
76A-52025,3000,ULTRA FORM,,
8-565,1000,COLLISON-GOLL,,
80750A,1000,Premier,,
810146D,2000,Focus Machine,,
811227C,1950,Infasco,,
812820-DWG,2000,PENN Engineered Fasteners Corp.,,
82-4764,2500,Ultra-Form,,
82-51318,960,Dana Canada,,
82218,320,Infasco,,
82222,175,Infasco,,
82244,600,Infasco,,
82246,250,Infasco,,
82247,220,Infasco,,
82248,1050,Infasco,,
82250,625,Infasco,,
82253,1350,Infasco,,
82254,1875,Infasco,,
82D-4764,2500,Ultra Form,,
83106,4500,Infasco,,
8321169,500,JOBAL,,
85158,600,Infasco,,
85158B,600,INFASCO,,
85158MODF1,600,INFASCO,,
87584/C1,1000,Magnum 2000,,
8A75UHWOZ,8000,PENN Engineered Fasteners Corp.,,
8C25XCMO-98PS,750,PENN Engineered Fasteners Corp.,,
900-6083,500,Thompson Fasteners,,
900-6085,1000,Thompson Fasteners,,
