po,partNo,traveler,pot,description,box,quantity,invDate,ps,notes
193336,NU1237,716810,1510,252+294 TBL 4 S/P,1,26500,2026-08-21 18:00:00,30011,ngày lấy từ dòng khác cùng PS
193336,NU1405-00,717279,1632,157+245 TBL 1 S/P,1,72000,2026-08-21 18:00:00,30011,ngày lấy từ dòng khác cùng PS
193336,11588293,717555,KIB,285+391 TBL 2 S/P,34,39100,2026-08-21 18:00:00,30011,
193336,NA1055-02,716815,260,11+293 TBL 5 S/P,28,12600,2026-08-21 18:00:00,30011,
192933,11612078-B,708874,767,"4  MC 74 S/P CERT, VCI BAGS",36,66600,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193143,11546367-MY-AK,715730,1757,292 BF 116 S/P,36,25200,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193188,06511847AA,716163,427,290 MC 78 S/P,36,27000,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193188,06511834AA,715602,23,245+293 TBL 6 S/P BOLTS,23,2300,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193188,06511834AA,716328,889,157 TBL 1 S/P BOLTS,32,3200,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193188,06511834AA,715603,688,245+293 TBL 6 S/P BOLTS,36,3600,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193188,06511834AA,716327,26,285+391 TBL 2 S/P BOLTS,21,2100,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193188,11546367-CA-IN,714352,1302,11+272 TBL 5 S/P CERT,35,24500,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193188,11546367-CA-IN,714350,908,252+294 TBL 5 S/P CERT,25,17500,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193188,11547369,714479,279,252+294 TBL 4 S/P,51,12750,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193188,11547369,714482,252,245+293 TBL 6 S/P,45,11250,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193205,11546449,716514,48,275 BF 102 S/P,36,90000,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193205,11546449,716518,174,280 BF 114 S/P,36,90000,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193205,11602031,716711,1841,"190+268 TBL 3 S/P BOLTS, CERT",31,4495,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193252,11546364-MY-AK,716333,1301,292 BF 113 S/P,43,150500,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193252,11516782,716767,598,290 BF 110 S/P,34,17000,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193262,11546774-MY-AK,714650,818,292 BF 117 S/P,26,11700,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193262,11546774-MY-AK,714276,943,292 BF 117 S/P,29,13050,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193262,11610091,716451,301,292 BF 116 S/P,22,55000,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193263,06513399AA,716753,349,285+391 TBL 2 S/P,35,8050,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193267,W520101-S442,714695,498,275 MC 112 S/P,36,108000,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193267,11546703,713858,422,11+293 TBL 5 S/P SCREWS,31,124000,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193267,06105051AA,716020,292,190+268 TBL 3 S/P BOLTS,20,12400,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193267,11546703,713859,55,391+285 TBL 2 S/P SCREWS,34,136000,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193267,W711468-S437,714085,620,280 BF 120 S/P,30,48000,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193267,11546703,714420,1324,190+268 TBL 3 S/P SCREWS,34,136000,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193267,11546703,714422,542,252+294 TBL 4 S/P SCREWS,29,116000,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193267,06512834AA,716011,1016,285+391 TBL 2 S/P,29,8410,2026-08-21 18:00:00,30013,ngày lấy từ dòng khác cùng PS
193267,06512732AA,716029,1596,11+293 TBL 5 S/P BOLTS,15,11250,2026-08-20 18:00:00,30013,
193295,11546774-MY-AK,714656,1099,292 BF 117 S/P,36,16200,2026-08-20 18:00:00,30013,
193295,06503825-A,716009,672,11+293 TBL 5 S/P TUMBLING,53,79500,2026-08-20 18:00:00,30013,
193336,11588293,717556,KIB,190+268 TBL 3 S/P,26,29900,2026-08-21 18:00:00,30013,
193336,NA1055-02,716816,233,294+252 TBL 4 S/P,40,18000,2026-08-21 18:00:00,30013,
193336,06514720AA,716661,135,11+293 TBL 5 S/P BOLTS,36,45000,2026-08-21 18:00:00,30013,
193336,NU1405-00,717280,820,285+391 TBL 2 S/P,1,77696,2026-08-21 18:00:00,30013,
190436,11612078-B,706811,1026,04 MC074 S/P IN VCI,26,48100,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193092,11546449,715765,951,280 BF114 S/P,36,90000,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193092,11549169-MY-AK,714518,369,292 BF116 S/P CERT,39,25740,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193092,11546463,716595,1106,275 BF108 S/P,36,16200,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193143,11546367-MY-AK,715724,1613,292 BF116 S/P CERT,36,25200,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193143,11546377,716616,440,292 MC024 S/P,19,40850,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193167,W520101-S450,714696,881,275 BF103 S/P,36,108000,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193188,06105049AA,716678,KIB,290 BF105 S/P BOLTS,36,28800,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193188,11546367-CA-IN,713919,1809,285/391 TB2 S/P CERTS,39,27300,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193188,11546367-CA-IN,714351,1712,245/293 TB6 S/P CERTS,39,27300,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193188,11547369,714480,1339,285/391 TB2 S/P,44,11000,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193205,11602031,716713,770,252/294 TB4 S/P,32,4640,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193205,11602031,716714,1068,252 TB4 S/P BOLTS,27,3915,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193205,11602031,716715,250,157/245 TB1 S/P,22,3190,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193205,11547369,714472,399,190/268 TB3 S/P,36,9000,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193205,11547369,714300,1005,190/268 TB3 S/P,36,9000,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193205,11547369,714475,820,285/391 TB2 S/P,28,7000,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193205,11546369-MY-AK,713473,1629,252 TB4 S/P CERTS,35,10500,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193229,W711468-S437,714084,378,292 MC019 S/P,32,51200,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193229,W711468-S437,714261,809,292 MC26 S/P,39,62400,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193262,11610091,716448,1549,292 MC026 S/P,31,77500,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193263,11588714,717113,KIB,285/391 TB2 S/P BOLTS,36,50400,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193267,W520101-S442,714694,650,275 MC112 S/P,36,108000,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193336,06514720AA,716664,195,195 TB5 S/P,21,26250,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193336,F1302AB,714580,522,157/245 TB1 S/P BOLTS,28,19600,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193336,F1302AB,714581,116,11/293 TB5 S/P BOLTS,30,21000,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
193336,06514720AA,716663,305,285/391 TB2 S/P BOLTS,35,43750,2026-08-22 18:00:00,30018,ngày ƯỚC TÍNH (theo số PS)
192933,11612078-B,709059,1440,"4 MC 74 S/P CERT, VCI BAGS",36,66600,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193188,06105049AA,716680,KIB,290 BF 105 S/P BOLTS,19,15200,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193188,06105049AA,716679,KIB,290 BF 105 S/P BOLTS,11,8800,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193229,11546703,714423,307,"157+245 TBL 1 S/P SCREWS, CERT",27,108000,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193229,11546703,713854,1406,"252+272 TBL 4 S/P SCREWS, CERT",32,128000,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193252,11546364-MY-AK,716335,1769,280 BF 124 S/P,21,73500,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193252,06101831-A,716506,601,280 BF 121 S/P,34,34000,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193252,11546437,716759,757,275 BF 104 S/P,48,72000,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193262,91054,714018,244,157+245 TBL 1 S/P CERT,38,64600,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193262,91054,714019,309,285+391 TBL 2 S/P CERT,39,66300,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193262,91054,714021,569,11 TBL 5 S/P CERT,23,39100,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193262,91054,714020,1378,190+268 TBL 3 S/P CERT,45,76500,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193267,W711468-S437,713267,298,280 BF 120 S/P,27,43200,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193267,W520101-S450,714691,585,275 BF 103 S/P,39,117000,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193295,11604000,717443,KIB,157+245 TBL 1 S/P BOLTS,24,14040,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193322,11546367-MY-AK,716133,722,280 BF 121 S/P,28,19600,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193322,11546367-MY-AK,716134,1031,290 MC 78 S/P,39,27300,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193322,11546367-MY-AK,716382,365,280 BF 121 S/P,36,25200,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193336,11588293,717554,KIB,190+268 TBL 3 S/P,24,27600,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193336,06514720AA,716662,883,294+252 TBL 4 S/P BOLTS,34,42500,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193378,06512834AA,716547,795,285+391 TBL 2 S/P,24,6960,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193378,06512834AA,716548,814,252+294 TBL 4 S/P,23,6670,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193378,06506707AA,716530,1594,252+294 TBL 4 S/P,34,27880,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193378,06514720AA,716660,1095,252+294 TBL 4 S/P BOLTS,32,40000,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193378,11546774,713586,18,157+245 TBL 1 S/P,21,9450,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193378,90280051,716540,456,11 TBL 5 S/P BOLTS,24,96000,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193378,06503825-A,716542,680,157+245 TBL 1 S/P TUMBLING,36,54000,2026-08-24 18:00:00,30024,ngày lấy từ dòng khác cùng PS
193378,06506707AA,716529,1791,279 TBL 5 S/P,25,20500,2026-08-24 18:00:00,30024,
193378,85158B,716579,813,252+294 TBL 4 S/P BOLTS,33,19800,2026-08-24 18:00:00,30024,
193378,06514720AA,716659,267,285+391 TBL 2 S/P BOLTS,34,42500,2026-08-24 18:00:00,30024,
193092,11546449,716279,1102,280 BF 123 S/P,36,90000,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193167,W520101-S450,714696,881,275 BF 103 S/P,47,141000,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193188,06511834AA,716326,97,285+391 TBL 2 S/P BOLTS,36,3600,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193203,HL3W-4320-AA,714604,1678,285+391 TBL 2 S/P IN RETURNABLES,24,4800,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193203,HL3W-4320-AA,714606,175,285+391 TBL 2 S/P IN RETURNABLES,24,4800,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193203,HL3W-4320-AA,713053,548,285+391 TBL 2 S/P IN RETURNABLES,42,8400,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193205,11546449,716527,1381,275 BF 102 S/P,36,90000,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193205,11546449,716524,73,280 BF 123 S/P,36,90000,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193205,11546366-MY-AK,714531,1082,292 MC 19 S/P,49,49000,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193252,11546364-MY-AK,716334,478,280 BF 124 S/P,36,126000,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193262,06511777AA,714617,486,190+268 TBL 3 S/P BOLTS,38,15580,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193263,06513399AA,716756,686,190+268 TBL 3 S/P,7,1610,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193263,06513399AA,716751,445,157+245 TBL 1 S/P,32,7360,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193263,06513399AA,716754,358,252+294 TBL 4 S/P,34,7820,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193263,06513399AA,716308,655,157+245 TBL 1 S/P,36,8280,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193263,11588714,717116,KIB,190+268 TBL3 S/P BOLTS,24,33600,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193263,06513399AA,716307,703,157+245 TBL 1 S/P,36,8280,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193263,11588714,717086,KIB,252+294 TBL 4 S/P BOLTS,22,30800,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193263,11588714,717115,KIB,285+391 TBL 2 S/P BOLTS,15,21000,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193263,11588714,717084,KIB,252 TBL 4 S/P BOLTS,27,37800,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193263,11588714,717085,KIB,157+245 TBL 1 S/P BOLTS,22,30800,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193263,11588714,717083,KIB,11+293 TBL 5 S/P BOLTS,15,21000,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193267,11546774-MY-AK,714653,152,157+245 TBL 1 S/P,23,10350,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193267,11610128,715796,1330,252+294 TBL 4 S/P BOLTS,27,30375,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193322,11546367-MY-AK,716132,158,292 MC 110 S/P,36,25200,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193378,55364498AA,716578,290,190+268 TBL 3 S/P BOLTS,22,11440,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193378,06503825-A,716541,565,11 TBL 5 S/P TUMBLING,33,49500,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193378,06503825-A,716543,12,190+268 TBL 3 S/P TUMBLING,43,64500,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193378,06503825-A,716544,404,157+245 TBL 1 S/P TUMBLING,58,87000,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193378,55364498AA,716577,561,252+294 TBL 4 S/P BOLTS,25,13000,2026-08-24 18:00:00,30026,ngày lấy từ dòng khác cùng PS
193378,06105051AA,716534,418,285+391 TBL 2 S/P BOLTS,34,21080,2026-08-24 18:00:00,30026,
193378,06105051AA,716533,1076,285+391 TBL 2 S/P BOLTS,19,11780,2026-08-24 18:00:00,30026,
193378,06514720AA,716657,105,11 TBL 5 S/P BOLTS,37,46250,2026-08-24 18:00:00,30026,
193443,94012078,717474,1426,285/391 TB2 S/P,23,2300,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193443,F1302AB,714006,934,190/268 TB3 S/P BOLTS,39,27300,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193407,06101968-A,716862,208,275 BF103 S/P,36,79200,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193443,92468,716445,967,157 TB1 S/P BOLTS,29,29000,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193443,61273,716243,1801,252 TB4 S/P BOLTS,25,7500,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193443,61273,716240,281,11 TB5 S/P BOLTS,23,6900,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193398,H62534A,716774,687,275 BF112 S/P,23,17250,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193252,11549168-CA-IN,710824,1061,272 MC026 S/P CERTS,36,36000,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193443,06514720AA,716658,182,190/268 TB3 S/P,24,30000,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193371,06101831-A,716890,1568,290 BF110 S/P,36,36000,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193443,11602023,715810,882,011 TB5 S/P BOLTS,28,37800,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193339,06104725AA,716793,1687,280 BF114 S/P,36,100800,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193443,F1302AB,714005,1055,252 TB4 S/P BOLTS,28,19600,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193252,11546437,716758,1700,290 BF106 S/P,57,85500,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193339,11548414,717056,120,290 BF109 S/P,3,1455,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193339,11548414,717054,913,290 BF109 S/P,36,17460,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193322,11546367-MY-AK,716138,101,004 BF110 S/P CERTS,36,25200,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193371,11546378-MY-AK,716466,396,290 BF107 S/P CERTS,36,45000,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193339,06104725AA,716794,1775,280 BF123 S/P,36,100800,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193371,11546366-MY-AK,715949,51,290 BF110 S/P CERTS,65,65000,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193371,11546365-MY-AK,715966,808,280 BF124 S/P,40,76000,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193378,11502717-TH-TC,717541,655,285/391 S/P  IN RETURNABLE,24,31200,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193336,11547059,716254,738,252 TB4 S/P IN RETURNABLE,24,13200,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193378,11502717-TH-TC,717542,604,285/391 TB2 S/P IN RETURNABLE,19,24700,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193398,11547369-BR-HA,716040,1821,252/294 TB4 S/P CERTS,38,9500,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193371,11546365-MY-AK,715969,860,280 BF124 S/P CERTS,36,68400,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193443,06503825-A,716005,1548,285/391 TB2 S/P TUMBLE,50,75000,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193371,06101831-A,716887,1659,290 BF110 S/P,36,36000,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
192831,06512106AA,715612,102,252 TB4 S/P,30,6000,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193443,F1302AB,714576,847,157/245 TB1 S/P,17,11900,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193378,W705606-S440,717755,KIB,292 BF117 S/P,36,20880,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193407,W520217-S440,715989,1550,252 TB4 S/P,36,4860,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193378,W705606-S440,717753,KIB,290 BF107 S/P,36,20880,2026-08-25 18:00:00,30030,ngày ƯỚC TÍNH (theo số PS)
193252,11546437,716763,91,290 BF106 S/P,51,76500,2026-08-26 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS); nâng lên ngày sản xuất cuối
193252,11546437,716757,1842,275 BF102 S/P,54,81000,2026-08-26 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS); nâng lên ngày sản xuất cuối
193252,11546437,716762,1387,275 BF104 S/P,54,81000,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193267,W520101-S437,714698,188,280 BF120 S/P,44,132000,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193322,11546449,716878,150,275 BF102 S/P,32,80000,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193322,11546449,716872,559,290 BF106 S/P,36,90000,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193322,11546449,716868,1028,280 BF114 S/P,36,90000,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193322,11546378-MY-AK,715964,712,290 BF107 S/P,36,45000,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193322,11546367-MY-AK,716378,1512,290 BF110 S/P,36,25200,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193336,11547059,716254,738,252/294 TB4 S/P,48,26400,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193339,06104725AA,716795,1539,275 MC112 S/P,36,100800,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193339,11548414,717050,1409,004 BF117 S/P,44,21340,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193339,06104388AA,716803,373,252 TB4 S/P,31,20460,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193339,06104388AA,716801,1603,157/245 TB1 S/P BOLTS,36,23760,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193339,06104384AA,716769,577,252/294 TB4 S/P,30,22500,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193339,06104384AA,716770,1522,252/294 TB4 S/P,36,27000,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193371,06101831-A,716889,304,290 BF109 S/P,36,36000,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193371,06509967AA,716989,KIB,290 BF105 S/P BOLTS,29,23925,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193371,11546462,717079,1382,275 BF108 S/P,30,19500,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193371,11546378-MY-AK,716468,462,292 BF107 S/P,36,45000,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193378,06102398AA,716536,610,004 BF113 S/P,25,120000,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193378,W705606-S440,717754,KIB,004 BF117 S/P,33,19140,2026-08-26 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS); nâng lên ngày sản xuất cuối
193378,06502979-A,716538,1376,4 BF116 S/P,22,16500,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193378,06502979-A,716545,335,4 BF116 S/P,34,25500,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193398,06101831-A,716897,1544,290 BF110 S/P,36,36000,2026-08-26 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS); nâng lên ngày sản xuất cuối
193398,06509967AA,716992,KIB,290 BF105 S/P BOLTS,19,15675,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193407,11602031-IN-PN,717129,1661,011 TB5 S/P BOLTS CERTS,28,4060,2026-08-26 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS); nâng lên ngày sản xuất cuối
193407,W520217-S440,715984,16,190/268 TB3 S/P,37,4995,2026-08-26 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS); nâng lên ngày sản xuất cuối
193407,11602031-IN-PN,717183,829,157/190/268 TB1 S/P BOLTS CERTS,6,870,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193407,11602031-IN-PN,717184,1799,157/190/268 TB3 S/P BOLTS CERTS,19,2755,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193407,W520217-S440,715982,300,190/268 TB3 S/P,36,4860,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193407,W520217-S440,715988,710,157/197 TB1 S/P,38,5130,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193407,W520217-S440,715983,1706,190/268 TB3 S/P,36,4860,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193443,F1302AB,714577,1554,11 TB5 S/P BOLTS,27,18900,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193443,61273,716241,574,252 TB4 S/P,26,7800,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193443,06503825-A,716004,575,190/268 TB3 S/P,30,45000,2026-08-25 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS)
193480,11561114,716434,238,190/268 TB3 S/P,26,10400,2026-08-26 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS); nâng lên ngày sản xuất cuối
193480,11561114,716433,1103,197 TB5 S/P,23,9200,2026-08-26 18:00:00,30031,ngày ƯỚC TÍNH (theo số PS); nâng lên ngày sản xuất cuối
