po,partNo,traveler,pot,description,box,quantity,invDate,ps,notes
192613,11549171-MY-AK,713492,815,,,10643,2026-07-29 18:00:00,29909,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
192613,11549171-MY-AK,713493,529,,,8878,2026-07-29 18:00:00,29909,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191192,W705606-S440,713494,KIB,,,34620,2026-07-11 18:00:00,29831,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191192,W705606-S440,713495,KIB,,,34620,2026-07-11 18:00:00,29831,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191192,1420503001,713496,KIB,,,30000,2026-07-11 18:00:00,29831,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=PIECES; ngày ƯỚC TÍNH (theo số PS)
191443,11546377-PH-RO,713510,1795,,,77400,2026-07-26 18:00:00,29895,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191443,11546377-PH-RO,713511,1794,,,77400,2026-07-27 18:00:00,29900,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191443,11546377-PH-RO,713512,1792,,,49450,2026-07-25 18:00:00,29893,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191443,11546377-PH-RO,713513,1793,,,21500,2026-07-26 18:00:00,29898,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191443,11546377-PH-RO,713514,1809,,,77400,2026-07-21 18:00:00,29875,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191443,11546377-PH-RO,713515,1810,,,62350,2026-07-22 18:00:00,29879,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191443,11546377-PH-RO,713516,1531,,,73100,2026-07-26 18:00:00,29898,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191443,11546377-PH-RO,713517,119,,,43000,2026-07-21 18:00:00,29875,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191443,11546377-PH-RO,713518,834,,,64500,2026-07-25 18:00:00,29893,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191443,11546377-PH-RO,713519,1443,,,58050,2026-07-22 18:00:00,29879,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191611,47336AE,713526,1804,,,23760,2026-07-29 18:00:00,29909,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191611,47336AE,713527,1801,,,23760,2026-07-31 18:00:00,29919,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191611,47336AE,713528,1805,,,23760,2026-07-27 18:00:00,29902,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191611,47336AE,713529,1806,,,23760,2026-07-29 18:00:00,29911,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191340,NU1405-00,713530,1618,,,75000,2026-07-18 18:00:00,29862,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191340,NU1405-00,713531,1584,,,82430,2026-07-18 18:00:00,29862,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
191340,NU1405-00,713532,760,,,61500,2026-07-24 18:00:00,29889,SHIP suy từ cờ Shipped + PS# của WORK ORDER; qty=tổng SELECT; ngày ƯỚC TÍNH (theo số PS)
